Dato;Tid;NO2 myg/m3;NOx myg(NO2)/m3;CO mg/m3;O3 myg/m3;PM10(Teom) myg/m3;PM25(Teom) myg/m3;SO2 myg/m3
05-02;6- 7;94,10;343,02;0,48;1,32;26,40;14,40;6,69
05-02;5- 6;60,87;142,79;0,31;13,86;13,20;7,95;2,50
05-02;4- 5;24,67;48,52;0,22;43,44;11,70;5,50;0,65
05-02;3- 4;24,89;45,67;0,23;44,73;11,80;5,75;0,51
05-02;2- 3;21,07;41,21;0,33;47,28;13,70;7,15;0,43
05-02;1- 2;22,57;49,88;0,23;43,68;12,55;6,45;0,62
05-02;0- 1;33,76;73,26;0,27;38,12;17,35;8,10;0,95
04-02;23-24;50,75;131,83;0,42;26,52;18,40;9,75;2,07
04-02;22-23;52,11;122,54;0,41;30,00;19,05;9,65;1,86
04-02;21-22;44,45;105,58;0,44;33,69;19,45;9,25;1,49
04-02;20-21;49,43;119,75;0,46;31,83;22,95;11,65;1,68
04-02;19-20;51,34;127,33;0,48;26,87;33,35;13,00;1,92
04-02;18-19;70,30;206,82;0,57;17,08;42,60;15,10;3,41
04-02;17-18;76,35;248,08;0,68;14,35;50,35;14,30;5,04
04-02;16-17;74,12;208,86;0,57;19,05;49,05;11,80;3,75
04-02;15-16;42,05;107,71;0,38;38,27;40,65;9,35;2,00
04-02;14-15;50,58;127,73;0,39;34,69;46,25;9,15;2,30
04-02;13-14;40,21;116,34;0,33;40,48;56,50;9,60;2,12
04-02;12-13;41,40;118,25;0,34;38,89;58,50;9,90;2,09
04-02;11-12;49,99;144,17;0,34;37,49;55,50;9,45;2,58
04-02;10-11;52,68;144,57;0,31;37,38;54,00;9,70;2,51
04-02;9-10;51,15;168,47;0,35;33,20;48,55;9,85;3,02
04-02;8- 9;65,41;221,90;0,42;24,96;35,15;9,85;4,27
04-02;7- 8;61,63;162,97;0,40;30,18;29,50;9,10;2,95
04-02;6- 7;39,37;92,47;0,27;44,72;25,40;7,30;1,75
04-02;5- 6;15,50;28,90;0,23;56,76;19,30;6,65;0,54
04-02;4- 5;7,13;14,85;0,22;62,44;15,80;5,65;0,26
04-02;3- 4;5,03;9,10;0,21;63,56;16,40;6,55;0,18
04-02;2- 3;5,15;10,78;0,21;62,37;16,70;5,95;0,26
04-02;1- 2;8,66;16,42;0,21;62,46;18,05;6,50;0,34
04-02;0- 1;9,91;19,10;0,23;59,72;18,15;6,25;0,23
03-02;23-24;11,56;22,87;0,26;57,26;21,15;7,25;0,30
03-02;22-23;20,31;47,11;0,30;51,92;18,95;7,95;0,68
03-02;21-22;16,94;42,08;0,29;52,16;21,95;8,80;0,70
03-02;20-21;22,43;48,18;0,31;50,64;17,80;9,15;0,71
03-02;19-20;23,56;50,35;0,31;50,18;16,35;7,75;0,78
03-02;18-19;49,58;131,87;0,47;28,57;27,35;11,45;2,20
03-02;17-18;73,67;181,50;0,54;20,67;37,90;12,60;3,21
03-02;16-17;37,55;116,62;0,45;33,62;40,10;10,40;2,12
03-02;15-16;44,47;122,63;0,45;37,06;45,25;9,35;2,26
03-02;14-15;28,99;104,91;0,39;40,02;42,55;10,05;1,96
03-02;13-14;36,12;107,97;0,38;43,36;45,60;9,55;2,10
03-02;12-13;42,81;124,36;0,35;43,89;40,10;9,00;2,36
03-02;11-12;43,94;118,73;0,33;46,06;38,05;8,70;2,07
03-02;10-11;36,72;94,71;0,30;48,49;29,60;7,70;2,04
03-02;9-10;36,87;84,67;0,30;50,78;26,60;7,90;1,65
03-02;8- 9;45,41;108,83;0,34;45,30;26,75;9,55;2,07
03-02;7- 8;33,26;74,40;0,30;49,10;24,60;9,75;1,42
03-02;6- 7;27,82;54,37;0,26;54,84;23,15;7,95;1,02
03-02;5- 6;5,70;13,58;0,22;66,16;16,35;6,60;0,35
03-02;4- 5;4,18;6,95;0,21;69,88;18,35;8,85;0,31
03-02;3- 4;2,45;4,83;0,21;72,50;16,60;7,85;0,28
03-02;2- 3;2,84;5,15;0,19;72,77;16,30;8,40;0,31
03-02;1- 2;3,08;5,63;0,18;73,03;15,25;7,00;0,28
03-02;0- 1;5,26;9,11;0,21;72,93;14,85;5,95;0,33
02-02;23-24;9,79;20,01;0,22;69,75;16,80;8,20;0,51
02-02;22-23;14,49;29,88;0,25;66,69;24,55;8,90;0,68
02-02;21-22;15,05;32,50;0,25;65,33;24,20;9,50;0,67
02-02;20-21;20,75;39,40;0,26;63,55;27,30;10,90;0,71
02-02;19-20;22,44;47,11;0,28;62,75;38,05;12,25;0,75
02-02;18-19;26,25;54,04;0,29;61,64;37,35;12,55;0,91
02-02;17-18;29,31;61,99;0,30;60,21;32,40;11,80;0,99
02-02;16-17;34,24;71,44;0,31;58,80;31,40;11,40;1,15
02-02;15-16;28,59;69,68;0,31;60,66;42,15;13,25;1,32
02-02;14-15;30,92;73,91;0,30;59,36;70,25;14,30;1,46
02-02;13-14;30,91;67,58;0,27;63,53;59,25;13,40;1,32
02-02;12-13;31,46;70,09;0,26;64,27;52,15;12,25;1,31
02-02;11-12;37,88;81,50;0,25;63,52;63,65;14,45;1,42
02-02;10-11;32,47;82,59;0,25;61,65;67,70;11,75;1,33
02-02;9-10;42,10;89,74;0,25;57,65;43,55;21,30;1,52
02-02;8- 9;46,22;115,60;0,29;52,93;35,35;11,20;1,75
02-02;7- 8;41,91;103,74;0,29;49,28;38,20;13,40;1,75
02-02;6- 7;22,44;55,02;0,23;66,19;30,35;9,40;1,05
02-02;5- 6;10,26;18,86;0,18;76,54;25,20;9,85;0,40
02-02;4- 5;4,56;8,82;0,17;78,01;23,70;9,50;0,26
02-02;3- 4;4,95;7,75;0,16;78,31;23,75;9,90;0,26
02-02;2- 3;4,79;8,11;0,17;77,30;27,55;12,10;0,24
02-02;1- 2;5,36;8,37;0,17;78,71;19,55;10,20;0,28
02-02;0- 1;6,42;11,06;0,18;76,50;21,00;8,45;0,30
01-02;23-24;6,63;11,27;0,18;74,94;19,05;8,30;0,23
01-02;22-23;9,38;17,10;0,21;73,63;19,25;8,60;0,17
01-02;21-22;10,75;20,66;0,26;72,82;20,05;9,90;0,17
01-02;20-21;10,89;21,86;0,22;71,26;20,50;8,90;0,41
01-02;19-20;14,74;28,77;0,25;69,16;24,90;9,60;0,44
01-02;18-19;20,55;47,04;0,31;61,05;21,75;10,40;0,84
01-02;17-18;43,91;107,64;0,41;37,88;16,30;9,75;1,72
01-02;16-17;48,28;121,38;0,40;12,33;14,15;8,45;2,04
01-02;15-16;46,70;110,50;0,36;22,19;9,25;4,30;1,75
01-02;14-15;46,58;122,61;0,37;31,60;10,05;3,45;2,26
01-02;13-14;52,29;142,76;0,38;33,66;14,65;4,55;2,54
01-02;12-13;61,28;153,46;0,35;21,03;18,00;8,45;2,44
01-02;11-12;78,80;229,14;0,38;10,77;31,25;9,80;4,05
01-02;10-11;101,76;346,22;0,46;3,72;34,90;13,65;6,59
01-02;9-10;100,27;442,95;0,59;2,16;35,95;16,10;8,45
01-02;8- 9;107,64;477,47;0,65;0,83;31,05;16,15;9,53
01-02;7- 8;99,46;447,71;0,68;0,50;32,95;16,40;9,12
01-02;6- 7;71,44;226,84;0,41;15,15;20,85;11,00;4,54
01-02;5- 6;26,48;56,70;0,22;46,55;13,15;6,20;0,98
01-02;4- 5;20,53;34,91;0,21;49,92;9,65;5,35;0,48
01-02;3- 4;12,78;23,85;0,22;55,80;10,75;5,85;0,30
01-02;2- 3;10,05;18,20;0,19;60,58;7,10;6,25;0,23
01-02;1- 2;10,22;19,34;0,19;62,22;9,30;6,05;0,30
01-02;0- 1;15,22;23,38;0,21;59,55;9,55;6,50;0,26
31-01;23-24;19,45;32,34;0,25;55,60;10,10;6,70;0,38
31-01;22-23;19,91;34,59;0,26;57,86;13,20;7,90;0,51
31-01;21-22;28,60;50,48;0,29;51,92;14,70;7,45;0,62
31-01;20-21;26,79;53,56;0,35;51,51;15,80;7,80;0,67
31-01;19-20;31,04;62,89;0,34;52,07;16,45;7,95;0,95
31-01;18-19;26,45;51,89;0,31;57,37;15,85;7,25;0,62
31-01;17-18;25,61;55,31;0,31;60,83;17,30;7,10;0,80
31-01;16-17;22,71;50,40;0,31;61,78;19,35;6,15;0,70
31-01;15-16;27,53;51,63;0,30;62,99;17,60;5,95;0,61
31-01;14-15;27,97;60,42;0,29;59,95;15,20;6,55;0,82
31-01;13-14;19,50;45,05;0,28;65,14;17,00;6,60;0,58
31-01;12-13;16,53;37,61;0,24;66,99;16,35;6,20;0,45
31-01;11-12;17,31;36,64;0,26;66,77;19,35;7,75;0,53
31-01;10-11;13,11;28,75;0,26;69,09;16,55;7,65;0,38
31-01;9-10;11,35;24,31;0,22;71,13;10,65;5,15;0,23
31-01;8- 9;12,19;20,60;0,21;71,13;8,30;5,10;0,14
31-01;7- 8;14,09;21,28;0,21;72,50;10,60;6,10;0,18
31-01;6- 7;10,55;16,56;0,19;71,44;12,30;6,05;0,20
31-01;5- 6;11,40;23,55;0,19;68,68;10,40;5,25;0,16
31-01;4- 5;15,17;31,14;0,22;65,00;10,00;4,05;0,45
31-01;3- 4;16,48;35,98;0,21;63,38;11,75;5,45;0,55
31-01;2- 3;20,38;45,91;0,22;64,35;12,55;4,55;0,58
31-01;1- 2;21,88;49,43;0,26;62,36;13,05;5,60;0,64
31-01;0- 1;23,63;53,19;0,25;60,94;13,05;5,50;0,74
30-01;23-24;33,15;75,07;0,33;53,20;16,05;7,95;1,12
30-01;22-23;33,10;68,54;0,33;54,67;19,75;7,75;1,01
30-01;21-22;42,48;84,96;0,44;48,06;24,70;9,95;1,26
30-01;20-21;41,30;85,39;0,35;48,02;24,30;9,90;1,04
30-01;19-20;32,97;71,56;0,31;55,45;19,75;6,85;0,94
30-01;18-19;40,22;106,06;0,41;45,49;25,10;11,10;1,63
30-01;17-18;60,74;144,67;0,54;33,97;26,70;11,50;2,09
30-01;16-17;56,64;120,39;0,42;42,76;25,40;10,20;1,99
30-01;15-16;34,04;82,22;0,35;54,51;14,05;4,95;1,35
30-01;14-15;37,93;86,78;0,35;49,19;15,60;7,85;1,36
30-01;13-14;51,81;108,69;0,38;44,69;13,80;6,90;1,69
30-01;12-13;50,92;110,36;0,37;40,23;13,85;6,50;1,75
30-01;11-12;49,34;97,12;0,35;39,22;10,00;6,15;1,56
30-01;10-11;29,61;68,76;0,29;41,13;7,20;4,20;1,21
30-01;9-10;19,30;41,90;0,26;45,13;6,70;4,40;0,75
30-01;8- 9;16,00;30,05;0,23;47,05;6,15;2,55;0,58
30-01;7- 8;15,42;26,58;0,23;50,35;5,90;2,85;0,51
30-01;6- 7;21,62;35,12;0,21;43,21;5,20;2,65;0,61
30-01;5- 6;19,04;29,06;0,22;49,42;8,70;3,65;0,54
30-01;4- 5;19,57;36,87;0,22;63,68;19,85;6,95;0,68
30-01;3- 4;18,68;40,50;0,19;62,85;18,65;6,45;0,68
30-01;2- 3;29,40;60,50;0,23;54,98;19,90;6,65;0,85
30-01;1- 2;32,28;57,74;0,25;49,81;19,35;8,50;0,75
30-01;0- 1;39,27;78,94;0,29;42,71;22,00;8,75;1,09
29-01;23-24;37,54;81,28;0,30;42,51;29,55;11,30;1,16
29-01;22-23;34,90;71,73;0,31;49,77;28,80;10,65;1,02
29-01;21-22;24,81;51,96;0,34;55,10;25,35;11,30;0,74
29-01;20-21;25,15;47,87;0,29;55,68;24,90;10,40;0,60
29-01;19-20;27,37;58,03;0,29;54,55;14,40;8,95;0,75
29-01;18-19;45,77;109,73;0,40;43,29;24,70;11,80;1,62
29-01;17-18;49,24;119,52;0,44;36,31;22,25;10,55;2,14
29-01;16-17;36,69;85,59;0,36;36,33;10,00;7,80;1,21
29-01;15-16;38,04;81,56;0,32;35,52;9,45;5,25;1,15
29-01;14-15;43,13;100,52;0,35;30,66;11,45;5,90;1,55
29-01;13-14;47,52;99,68;0,31;31,86;9,35;5,45;1,60
29-01;12-13;38,68;111,75;0,34;29,55;10,55;6,65;1,75
29-01;11-12;50,79;124,37;0,35;25,15;13,95;6,50;2,12
29-01;10-11;57,76;142,61;0,33;18,86;23,85;10,00;2,24
29-01;9-10;52,84;137,76;0,35;17,13;32,55;12,00;2,40
29-01;8- 9;55,33;166,59;0,37;17,17;30,65;11,70;2,98
29-01;7- 8;57,06;132,46;0,36;22,55;31,00;10,25;2,14
29-01;6- 7;35,90;78,12;0,30;31,29;24,40;8,45;1,22
29-01;5- 6;31,35;49,37;0,22;35,88;19,65;6,20;0,65
29-01;4- 5;25,10;36,98;0,22;38,24;20,50;6,40;0,37
29-01;3- 4;16,08;24,77;0,21;46,11;22,60;6,55;0,11
29-01;2- 3;12,67;20,95;0,21;49,65;23,05;7,30;0,14
29-01;1- 2;14,44;22,24;0,21;54,20;28,95;6,70;0,14
29-01;0- 1;21,76;38,93;0,23;52,23;25,15;7,20;0,33
28-01;23-24;25,54;43,31;0,23;49,11;27,90;8,95;0,26
28-01;22-23;28,42;56,63;0,30;44,27;29,30;11,20;0,50
28-01;21-22;34,30;76,62;0,33;40,27;29,70;11,30;0,91
28-01;20-21;35,16;74,22;0,35;42,09;29,75;10,50;0,88
28-01;19-20;30,35;68,20;0,31;46,30;28,00;10,60;0,81
28-01;18-19;37,70;83,89;0,34;49,74;34,35;10,65;1,16
28-01;17-18;42,42;95,39;0,38;44,95;34,80;10,05;1,28
28-01;16-17;32,96;82,22;0,33;50,99;34,55;9,70;1,25
28-01;15-16;30,09;74,49;0,32;56,12;38,50;9,25;1,14
28-01;14-15;27,18;80,08;0,29;57,13;43,45;17,45;1,28
28-01;13-14;24,65;68,78;0,23;60,92;50,35;12,55;1,24
28-01;12-13;35,11;94,56;0,27;56,85;48,95;13,10;1,53
28-01;11-12;34,22;82,15;0,25;59,57;43,70;11,05;1,32
28-01;10-11;33,64;89,09;0,27;57,36;44,20;11,40;1,58
28-01;9-10;36,98;99,43;0,26;54,54;31,60;9,45;1,59
28-01;8- 9;47,32;117,21;0,29;50,50;24,90;9,50;1,86
28-01;7- 8;32,78;77,05;0,27;52,15;19,00;7,25;1,36
28-01;6- 7;33,22;73,41;0,25;53,50;17,15;6,90;1,39
28-01;5- 6;11,00;21,48;0,18;68,34;9,65;4,75;0,37
28-01;4- 5;3,91;8,81;0,16;72,45;9,95;4,95;0,14
28-01;3- 4;3,82;5,75;0,16;72,76;11,00;5,10;0,16
28-01;2- 3;4,38;6,63;0,17;74,03;9,10;4,10;0,23
28-01;1- 2;5,53;7,54;0,18;64,33;10,25;5,00;0,27
28-01;0- 1;13,90;22,71;0,23;47,93;5,60;3,60;0,41
